Lea State,LEA,School State,School,ID,Year,Category,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),LEP
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,60.00,0.00,,65.00,0.00,0.00
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,35.00,0.00,,35.00,0.00,0.00
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2006,Passing all AP tests taken,0.00,0.00,,,0.00,5.00,0.00,,10.00,0.00,0.00
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2006,Passing some AP tests taken,0.00,0.00,,,0.00,5.00,0.00,,5.00,0.00,0.00
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2006,Passing no AP tests taken,0.00,0.00,,,0.00,55.00,0.00,,55.00,0.00,0.00
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2006,Total Enrollment (Secondary Schools),0.00,5.00,,,10.00,2135.00,0.00,,2150.00,210.00,5.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF ENTREPRENEURSHIP/SENIOR ACADEMY,130012000115,2006,Enrollment in AP classes,0.00,0.00,,,0.00,25.00,0.00,,30.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF ENTREPRENEURSHIP/SENIOR ACADEMY,130012000115,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,10.00,5.00,,20.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF ENTREPRENEURSHIP/SENIOR ACADEMY,130012000115,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,10.00,0.00,,10.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF ENTREPRENEURSHIP/SENIOR ACADEMY,130012000115,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF ENTREPRENEURSHIP/SENIOR ACADEMY,130012000115,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF ENTREPRENEURSHIP/SENIOR ACADEMY,130012000115,2006,Passing no AP tests taken,0.00,0.00,,,0.00,15.00,5.00,,20.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF ENTREPRENEURSHIP/SENIOR ACADEMY,130012000115,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,0.00,215.00,0.00,,215.00,40.00,0.00
GA,ATLANTA CITY,GA,CRIM OPEN CAMPUS,130012000120,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CRIM OPEN CAMPUS,130012000120,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CRIM OPEN CAMPUS,130012000120,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CRIM OPEN CAMPUS,130012000120,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CRIM OPEN CAMPUS,130012000120,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CRIM OPEN CAMPUS,130012000120,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CRIM OPEN CAMPUS,130012000120,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,5.00,385.00,0.00,,395.00,40.00,5.00
GA,ATLANTA CITY,GA,MAYS HIGH SCHOOL,130012001865,2006,Enrollment in AP classes,0.00,0.00,,,5.00,130.00,0.00,,135.00,0.00,0.00
GA,ATLANTA CITY,GA,MAYS HIGH SCHOOL,130012001865,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,90.00,0.00,,90.00,0.00,0.00
GA,ATLANTA CITY,GA,MAYS HIGH SCHOOL,130012001865,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,35.00,0.00,,35.00,0.00,0.00
GA,ATLANTA CITY,GA,MAYS HIGH SCHOOL,130012001865,2006,Passing all AP tests taken,0.00,0.00,,,0.00,10.00,0.00,,10.00,0.00,0.00
GA,ATLANTA CITY,GA,MAYS HIGH SCHOOL,130012001865,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,MAYS HIGH SCHOOL,130012001865,2006,Passing no AP tests taken,0.00,0.00,,,0.00,75.00,0.00,,80.00,0.00,0.00
GA,ATLANTA CITY,GA,MAYS HIGH SCHOOL,130012001865,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,25.00,1680.00,0.00,,1705.00,130.00,20.00
GA,ATLANTA CITY,GA,SOUTHSIDE HIGH SCHOOL,130012001939,2006,Enrollment in AP classes,0.00,0.00,,,5.00,110.00,5.00,,115.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTHSIDE HIGH SCHOOL,130012001939,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,5.00,55.00,0.00,,60.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTHSIDE HIGH SCHOOL,130012001939,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,45.00,0.00,,45.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTHSIDE HIGH SCHOOL,130012001939,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTHSIDE HIGH SCHOOL,130012001939,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTHSIDE HIGH SCHOOL,130012001939,2006,Passing no AP tests taken,0.00,0.00,,,0.00,55.00,0.00,,55.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTHSIDE HIGH SCHOOL,130012001939,2006,Total Enrollment (Secondary Schools),0.00,5.00,,,35.00,930.00,15.00,,985.00,110.00,10.00
GA,ATLANTA CITY,GA,NORTH ATLANTA HIGH SCHOOL,130012002212,2006,Enrollment in AP classes,0.00,5.00,,,0.00,55.00,20.00,,80.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH ATLANTA HIGH SCHOOL,130012002212,2006,Taking AP tests for some AP courses taken,0.00,5.00,,,0.00,35.00,15.00,,55.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH ATLANTA HIGH SCHOOL,130012002212,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,25.00,10.00,,40.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH ATLANTA HIGH SCHOOL,130012002212,2006,Passing all AP tests taken,0.00,0.00,,,0.00,5.00,5.00,,15.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH ATLANTA HIGH SCHOOL,130012002212,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,5.00,,5.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH ATLANTA HIGH SCHOOL,130012002212,2006,Passing no AP tests taken,0.00,0.00,,,0.00,30.00,5.00,,35.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH ATLANTA HIGH SCHOOL,130012002212,2006,Total Enrollment (Secondary Schools),0.00,30.00,,,145.00,845.00,135.00,,1160.00,105.00,65.00
GA,ATLANTA CITY,GA,SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES,130012002616,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES,130012002616,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES,130012002616,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES,130012002616,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES,130012002616,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES,130012002616,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES,130012002616,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,0.00,70.00,0.00,,70.00,10.00,0.00
GA,ATLANTA CITY,GA,APS-CEP PARTNERSHIP SCHOOL,130012002798,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,APS-CEP PARTNERSHIP SCHOOL,130012002798,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,APS-CEP PARTNERSHIP SCHOOL,130012002798,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,APS-CEP PARTNERSHIP SCHOOL,130012002798,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,APS-CEP PARTNERSHIP SCHOOL,130012002798,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,APS-CEP PARTNERSHIP SCHOOL,130012002798,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,APS-CEP PARTNERSHIP SCHOOL,130012002798,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,0.00,370.00,0.00,,375.00,5.00,0.00
GA,ATLANTA CITY,GA,WEST END ACADEMY,130012002799,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,WEST END ACADEMY,130012002799,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,WEST END ACADEMY,130012002799,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,WEST END ACADEMY,130012002799,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,WEST END ACADEMY,130012002799,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,WEST END ACADEMY,130012002799,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,WEST END ACADEMY,130012002799,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,0.00,50.00,0.00,,55.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH METRO PSYCHOEDUCATIONAL PROGRAM,130012003033,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH METRO PSYCHOEDUCATIONAL PROGRAM,130012003033,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH METRO PSYCHOEDUCATIONAL PROGRAM,130012003033,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH METRO PSYCHOEDUCATIONAL PROGRAM,130012003033,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH METRO PSYCHOEDUCATIONAL PROGRAM,130012003033,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH METRO PSYCHOEDUCATIONAL PROGRAM,130012003033,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,NORTH METRO PSYCHOEDUCATIONAL PROGRAM,130012003033,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,0.00,55.00,10.00,,60.00,60.00,0.00
GA,ATLANTA CITY,GA,TECH HIGH CHARTER SCHOOL,130012003469,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,TECH HIGH CHARTER SCHOOL,130012003469,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,TECH HIGH CHARTER SCHOOL,130012003469,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,TECH HIGH CHARTER SCHOOL,130012003469,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,TECH HIGH CHARTER SCHOOL,130012003469,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,TECH HIGH CHARTER SCHOOL,130012003469,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,TECH HIGH CHARTER SCHOOL,130012003469,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,0.00,195.00,10.00,,205.00,5.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF THE ARTS,130012099994,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF THE ARTS,130012099994,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF THE ARTS,130012099994,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF THE ARTS,130012099994,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF THE ARTS,130012099994,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF THE ARTS,130012099994,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF THE ARTS,130012099994,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,0.00,150.00,0.00,,155.00,5.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF TECHNOLOGY,130012099995,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF TECHNOLOGY,130012099995,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF TECHNOLOGY,130012099995,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF TECHNOLOGY,130012099995,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF TECHNOLOGY,130012099995,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF TECHNOLOGY,130012099995,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF TECHNOLOGY,130012099995,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,5.00,200.00,5.00,,205.00,20.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF HEALTH SCIENCES,130012099996,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF HEALTH SCIENCES,130012099996,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF HEALTH SCIENCES,130012099996,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF HEALTH SCIENCES,130012099996,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF HEALTH SCIENCES,130012099996,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF HEALTH SCIENCES,130012099996,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF HEALTH SCIENCES,130012099996,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,5.00,200.00,5.00,,205.00,25.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF EARLY COLLEGE,130012099997,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF EARLY COLLEGE,130012099997,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF EARLY COLLEGE,130012099997,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF EARLY COLLEGE,130012099997,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF EARLY COLLEGE,130012099997,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF EARLY COLLEGE,130012099997,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF EARLY COLLEGE,130012099997,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,5.00,170.00,0.00,,175.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Enrollment in AP classes,5.00,,10.00,0.00,0.00,145.00,170.00,10.00,340.00,5.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Taking AP tests for some AP courses taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Taking AP tests for all AP courses taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Students who took AP courses but did not take any AP tests,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Passing all AP tests taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Passing some AP tests taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Passing no AP tests taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Total Enrollment (Secondary Schools),35.00,,20.00,0.00,15.00,970.00,375.00,45.00,1465.00,110.00,20.00
GA,ATLANTA CITY,GA,WASHINGTON SENIOR ACADEMY HIGH SCHOOL,130012000072,2009,Enrollment in AP classes,0.00,,0.00,0.00,0.00,165.00,0.00,0.00,165.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON SENIOR ACADEMY HIGH SCHOOL,130012000072,2009,Taking AP tests for some AP courses taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON SENIOR ACADEMY HIGH SCHOOL,130012000072,2009,Taking AP tests for all AP courses taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON SENIOR ACADEMY HIGH SCHOOL,130012000072,2009,Students who took AP courses but did not take any AP tests,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON SENIOR ACADEMY HIGH SCHOOL,130012000072,2009,Passing all AP tests taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
