Lea State,LEA,School State,School,ID,Year,Category,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,ATLANTA CITY,GA,MORNINGSIDE ELEMENTARY SCHOOL,130012000130,2006,Total enrollment,0.00,30.00,,,35.00,175.00,640.00,,885.00,125.00,,10.00
GA,ATLANTA CITY,GA,VENETIAN HILLS ELEMENTARY SCHOOL,130012000133,2006,Total enrollment,0.00,0.00,,,0.00,375.00,0.00,,375.00,25.00,,5.00
GA,ATLANTA CITY,GA,LIN ELEMENTARY SCHOOL,130012000136,2006,Total enrollment,0.00,15.00,,,10.00,150.00,315.00,,490.00,40.00,,5.00
GA,ATLANTA CITY,GA,JACKSON ELEMENTARY SCHOOL,130012000137,2006,Total enrollment,0.00,25.00,,,50.00,105.00,630.00,,810.00,80.00,,50.00
GA,ATLANTA CITY,GA,GIDEONS ELEMENTARY SCHOOL,130012000139,2006,Total enrollment,0.00,5.00,,,5.00,535.00,0.00,,545.00,20.00,,10.00
GA,ATLANTA CITY,GA,HOPE ELEMENTARY SCHOOL,130012000143,2006,Total enrollment,0.00,0.00,,,85.00,180.00,0.00,,265.00,15.00,,75.00
GA,ATLANTA CITY,GA,EAST LAKE ELEMENTARY SCHOOL,130012000145,2006,Total enrollment,0.00,0.00,,,10.00,260.00,0.00,,270.00,25.00,,5.00
GA,ATLANTA CITY,GA,CONNALLY ELEMENTARY SCHOOL,130012000147,2006,Total enrollment,0.00,0.00,,,0.00,415.00,0.00,,420.00,30.00,,0.00
GA,ATLANTA CITY,GA,BETHUNE ELEMENTARY SCHOOL,130012000149,2006,Total enrollment,0.00,0.00,,,0.00,450.00,0.00,,455.00,40.00,,0.00
GA,ATLANTA CITY,GA,BUNCHE MIDDLE SCHOOL,130012000150,2006,Total enrollment,0.00,0.00,,,0.00,745.00,0.00,,750.00,50.00,,0.00
GA,ATLANTA CITY,GA,BENJAMIN S. CARSON PREPARATORY SCHOOL,130012000167,2006,Total enrollment,0.00,0.00,,,5.00,625.00,0.00,,630.00,90.00,,0.00
GA,ATLANTA CITY,GA,MAYS HIGH SCHOOL,130012001865,2006,Total enrollment,0.00,0.00,,,25.00,1680.00,0.00,,1705.00,130.00,,20.00
GA,ATLANTA CITY,GA,YOUNG MIDDLE SCHOOL,130012001866,2006,Total enrollment,0.00,0.00,,,20.00,935.00,0.00,,955.00,90.00,,15.00
GA,ATLANTA CITY,GA,SOUTHSIDE HIGH SCHOOL,130012001939,2006,Total enrollment,0.00,5.00,,,35.00,930.00,15.00,,985.00,110.00,,10.00
GA,ATLANTA CITY,GA,NORTH ATLANTA HIGH SCHOOL,130012002212,2006,Total enrollment,0.00,30.00,,,145.00,845.00,135.00,,1160.00,105.00,,65.00
GA,ATLANTA CITY,GA,CENTENNIAL PLACE ELEMENTARY SCHOOL,130012002290,2006,Total enrollment,0.00,20.00,,,5.00,530.00,20.00,,580.00,45.00,,10.00
GA,ATLANTA CITY,GA,BROWN MIDDLE SCHOOL,130012002344,2006,Total enrollment,0.00,0.00,,,0.00,650.00,0.00,,655.00,75.00,,0.00
GA,ATLANTA CITY,GA,CHARLES R. DREW CHARTER SCHOOL,130012002453,2006,Total enrollment,0.00,0.00,,,5.00,785.00,0.00,,790.00,100.00,,0.00
GA,ATLANTA CITY,GA,PARKSIDE ELEMENTARY SCHOOL,130012002517,2006,Total enrollment,0.00,10.00,,,40.00,505.00,25.00,,580.00,85.00,,40.00
GA,ATLANTA CITY,GA,HERITAGE ACADEMY ELEMENTARY,130012002613,2006,Total enrollment,0.00,0.00,,,10.00,475.00,0.00,,490.00,50.00,,10.00
GA,ATLANTA CITY,GA,UNIVERSITY COMMUNITY ACADEMY,130012002614,2006,Total enrollment,0.00,0.00,,,0.00,345.00,0.00,,345.00,30.00,,0.00
GA,ATLANTA CITY,GA,NEIGHBORHOOD CHARTER SCHOOL,130012002615,2006,Total enrollment,0.00,0.00,,,5.00,155.00,150.00,,310.00,20.00,,0.00
GA,ATLANTA CITY,GA,SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES,130012002616,2006,Total enrollment,0.00,0.00,,,0.00,70.00,0.00,,70.00,10.00,,0.00
GA,ATLANTA CITY,GA,APS-CEP PARTNERSHIP SCHOOL,130012002798,2006,Total enrollment,0.00,0.00,,,0.00,370.00,0.00,,375.00,5.00,,0.00
GA,ATLANTA CITY,GA,WEST END ACADEMY,130012002799,2006,Total enrollment,0.00,0.00,,,0.00,50.00,0.00,,55.00,0.00,,0.00
GA,ATLANTA CITY,GA,DOBBS ELEMENTARY SCHOOL,130012003025,2006,Total enrollment,0.00,0.00,,,5.00,475.00,5.00,,490.00,55.00,,5.00
GA,ATLANTA CITY,GA,BOLTON ACADEMY,130012003028,2006,Total enrollment,0.00,0.00,,,125.00,310.00,20.00,,455.00,55.00,,75.00
GA,ATLANTA CITY,GA,HARPER-ARCHER MIDDLE SCHOOL,130012003029,2006,Total enrollment,0.00,0.00,,,20.00,770.00,5.00,,795.00,135.00,,15.00
GA,ATLANTA CITY,GA,KIPP WAYS ATLANTA YOUNG SCHOLARS ACADEMY,130012003031,2006,Total enrollment,0.00,0.00,,,0.00,275.00,0.00,,275.00,20.00,,0.00
GA,ATLANTA CITY,GA,KIPP ACHIEVE ACADEMY OF ATLANTA,130012003032,2006,Total enrollment,0.00,0.00,,,0.00,90.00,0.00,,90.00,5.00,,0.00
GA,ATLANTA CITY,GA,NORTH METRO PSYCHOEDUCATIONAL PROGRAM,130012003033,2006,Total enrollment,0.00,0.00,,,0.00,55.00,10.00,,60.00,60.00,,0.00
GA,ATLANTA CITY,GA,TECH HIGH CHARTER SCHOOL,130012003469,2006,Total enrollment,0.00,0.00,,,0.00,195.00,10.00,,205.00,5.00,,0.00
GA,ATLANTA CITY,GA,DEERWOOD ACADEMY SCHOOL,130012003470,2006,Total enrollment,0.00,0.00,,,0.00,515.00,0.00,,515.00,35.00,,0.00
GA,ATLANTA CITY,GA,FINCH ELEMENTARY SCHOOL,130012099993,2006,Total enrollment,0.00,0.00,,,0.00,450.00,0.00,,450.00,40.00,,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF THE ARTS,130012099994,2006,Total enrollment,0.00,0.00,,,0.00,150.00,0.00,,155.00,5.00,,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF TECHNOLOGY,130012099995,2006,Total enrollment,0.00,0.00,,,5.00,200.00,5.00,,205.00,20.00,,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF HEALTH SCIENCES,130012099996,2006,Total enrollment,0.00,0.00,,,5.00,200.00,5.00,,205.00,25.00,,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF EARLY COLLEGE,130012099997,2006,Total enrollment,0.00,0.00,,,5.00,170.00,0.00,,175.00,0.00,,0.00
GA,ATLANTA CITY,GA,ATLANTA CHARTER MIDDLE SCHOOL,130012099998,2006,Total enrollment,0.00,0.00,,,5.00,45.00,25.00,,80.00,15.00,,0.00
GA,ATLANTA CITY,GA,LONG MIDDLE SCHOOL,130012000017,2009,Total enrollment,10.00,,0.00,0.00,10.00,565.00,0.00,5.00,590.00,85.00,5.00,10.00
GA,ATLANTA CITY,GA,BOYD ELEMENTARY SCHOOL,130012000022,2009,Total enrollment,0.00,,0.00,0.00,0.00,325.00,0.00,5.00,335.00,25.00,5.00,0.00
GA,ATLANTA CITY,GA,KING MIDDLE SCHOOL,130012000025,2009,Total enrollment,10.00,,5.00,0.00,20.00,545.00,5.00,0.00,590.00,90.00,5.00,10.00
GA,ATLANTA CITY,GA,INMAN MIDDLE SCHOOL,130012000027,2009,Total enrollment,0.00,,20.00,0.00,30.00,365.00,315.00,30.00,755.00,65.00,5.00,5.00
GA,ATLANTA CITY,GA,GARDEN HILLS ELEMENTARY SCHOOL,130012000029,2009,Total enrollment,5.00,,15.00,0.00,425.00,65.00,75.00,10.00,600.00,40.00,0.00,315.00
GA,ATLANTA CITY,GA,TOWNS ELEMENTARY SCHOOL,130012000034,2009,Total enrollment,25.00,,0.00,0.00,50.00,305.00,0.00,0.00,385.00,20.00,0.00,65.00
GA,ATLANTA CITY,GA,RIVERS ELEMENTARY SCHOOL,130012000036,2009,Total enrollment,85.00,,15.00,0.00,40.00,160.00,190.00,25.00,520.00,45.00,5.00,100.00
GA,ATLANTA CITY,GA,KIMBERLY ELEMENTARY SCHOOL,130012000038,2009,Total enrollment,0.00,,0.00,0.00,0.00,445.00,0.00,0.00,450.00,30.00,0.00,5.00
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2009,Total enrollment,50.00,,0.00,0.00,35.00,400.00,0.00,0.00,490.00,40.00,0.00,75.00
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2009,Total enrollment,0.00,,0.00,0.00,5.00,395.00,0.00,0.00,405.00,40.00,0.00,0.00
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2009,Total enrollment,30.00,,0.00,0.00,20.00,310.00,0.00,0.00,365.00,30.00,0.00,40.00
GA,ATLANTA CITY,GA,F. L. STANTON ELEMENTARY SCHOOL,130012000045,2009,Total enrollment,0.00,,0.00,0.00,0.00,270.00,0.00,0.00,275.00,25.00,0.00,0.00
GA,ATLANTA CITY,GA,KENNEDY MIDDLE SCHOOL,130012000048,2009,Total enrollment,0.00,,0.00,0.00,0.00,345.00,0.00,0.00,345.00,45.00,0.00,0.00
GA,ATLANTA CITY,GA,PARKS MIDDLE SCHOOL,130012000049,2009,Total enrollment,0.00,,0.00,0.00,0.00,440.00,0.00,5.00,455.00,45.00,0.00,5.00
GA,ATLANTA CITY,GA,WOODSON ELEMENTARY SCHOOL,130012000050,2009,Total enrollment,0.00,,0.00,0.00,5.00,415.00,0.00,5.00,430.00,45.00,0.00,0.00
GA,ATLANTA CITY,GA,TOOMER ELEMENTARY SCHOOL,130012000052,2009,Total enrollment,0.00,,5.00,0.00,5.00,150.00,35.00,5.00,195.00,20.00,0.00,0.00
GA,ATLANTA CITY,GA,DUNBAR ELEMENTARY SCHOOL,130012000054,2009,Total enrollment,0.00,,0.00,0.00,0.00,240.00,0.00,0.00,240.00,20.00,0.00,0.00
GA,ATLANTA CITY,GA,SYLVAN HILLS MIDDLE SCHOOL,130012000058,2009,Total enrollment,0.00,,0.00,0.00,0.00,440.00,0.00,5.00,450.00,55.00,5.00,5.00
GA,ATLANTA CITY,GA,SLATER ELEMENTARY SCHOOL,130012000059,2009,Total enrollment,10.00,,0.00,0.00,5.00,550.00,0.00,5.00,570.00,60.00,0.00,5.00
GA,ATLANTA CITY,GA,PRICE MIDDLE SCHOOL,130012000060,2009,Total enrollment,35.00,,5.00,0.00,25.00,470.00,0.00,0.00,540.00,60.00,0.00,30.00
GA,ATLANTA CITY,GA,MILES ELEMENTARY SCHOOL,130012000063,2009,Total enrollment,0.00,,0.00,0.00,0.00,450.00,0.00,0.00,455.00,60.00,0.00,5.00
GA,ATLANTA CITY,GA,HERNDON ELEMENTARY,130012000065,2009,Total enrollment,0.00,,0.00,0.00,5.00,240.00,0.00,0.00,245.00,25.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Total enrollment,35.00,,20.00,0.00,15.00,970.00,375.00,45.00,1465.00,110.00,5.00,20.00
GA,ATLANTA CITY,GA,THOMASVILLE HEIGHTS ELEMENTARY SCHOOL,130012000069,2009,Total enrollment,0.00,,0.00,0.00,0.00,365.00,0.00,0.00,365.00,25.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON SENIOR ACADEMY HIGH SCHOOL,130012000072,2009,Total enrollment,0.00,,0.00,0.00,0.00,930.00,0.00,0.00,935.00,90.00,5.00,0.00
GA,ATLANTA CITY,GA,BENTEEN ELEMENTARY SCHOOL,130012000073,2009,Total enrollment,60.00,,0.00,0.00,35.00,145.00,5.00,0.00,240.00,20.00,0.00,35.00
GA,ATLANTA CITY,GA,D. H. STANTON ELEMENTARY SCHOOL,130012000077,2009,Total enrollment,5.00,,0.00,0.00,0.00,300.00,0.00,0.00,310.00,25.00,0.00,5.00
GA,ATLANTA CITY,GA,COAN MIDDLE SCHOOL,130012000082,2009,Total enrollment,5.00,,0.00,0.00,0.00,315.00,0.00,5.00,325.00,45.00,0.00,0.00
GA,ATLANTA CITY,GA,CAPITOL VIEW ELEMENTARY SCHOOL,130012000084,2009,Total enrollment,5.00,,0.00,0.00,0.00,270.00,0.00,0.00,275.00,15.00,0.00,0.00
GA,ATLANTA CITY,GA,M. A. JONES ELEMENTARY SCHOOL,130012000085,2009,Total enrollment,0.00,,0.00,0.00,10.00,520.00,5.00,5.00,535.00,50.00,0.00,0.00
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2009,Total enrollment,5.00,,0.00,0.00,5.00,1335.00,0.00,5.00,1350.00,150.00,0.00,5.00
GA,ATLANTA CITY,GA,COOK ELEMENTARY SCHOOL,130012000090,2009,Total enrollment,0.00,,0.00,0.00,10.00,335.00,5.00,5.00,350.00,35.00,0.00,5.00
GA,ATLANTA CITY,GA,CLEVELAND ELEMENTARY SCHOOL,130012000091,2009,Total enrollment,5.00,,0.00,0.00,5.00,350.00,0.00,0.00,360.00,20.00,5.00,5.00
GA,ATLANTA CITY,GA,CASCADE ELEMENTARY SCHOOL,130012000092,2009,Total enrollment,0.00,,0.00,0.00,0.00,385.00,0.00,0.00,385.00,25.00,0.00,5.00
GA,ATLANTA CITY,GA,WHITEFOORD ELEMENTARY SCHOOL,130012000097,2009,Total enrollment,0.00,,0.00,0.00,5.00,230.00,0.00,10.00,240.00,25.00,0.00,0.00
GA,ATLANTA CITY,GA,SCOTT ELEMENTARY SCHOOL,130012000099,2009,Total enrollment,0.00,,0.00,0.00,5.00,390.00,5.00,5.00,400.00,40.00,5.00,0.00
GA,ATLANTA CITY,GA,FICKETT ELEMENTARY SCHOOL,130012000103,2009,Total enrollment,0.00,,0.00,0.00,5.00,575.00,0.00,5.00,585.00,45.00,0.00,0.00
GA,ATLANTA CITY,GA,WHITE ELEMENTARY SCHOOL,130012000104,2009,Total enrollment,0.00,,0.00,0.00,0.00,300.00,0.00,0.00,305.00,30.00,0.00,0.00
GA,ATLANTA CITY,GA,PEYTON FOREST ELEMENTARY SCHOOL,130012000106,2009,Total enrollment,0.00,,0.00,0.00,35.00,455.00,0.00,0.00,490.00,35.00,5.00,20.00
GA,ATLANTA CITY,GA,SUTTON MIDDLE SCHOOL,130012000107,2009,Total enrollment,135.00,,30.00,0.00,115.00,350.00,375.00,30.00,1035.00,115.00,5.00,95.00
GA,ATLANTA CITY,GA,FAIN ELEMENTARY SCHOOL,130012000110,2009,Total enrollment,30.00,,0.00,0.00,35.00,415.00,0.00,0.00,480.00,25.00,0.00,55.00
GA,ATLANTA CITY,GA,CONTINENTAL COLONY ELEMENTARY SCHOOL,130012000113,2009,Total enrollment,0.00,,0.00,0.00,0.00,360.00,0.00,5.00,370.00,30.00,5.00,5.00
GA,ATLANTA CITY,GA,BEECHER HILLS ELEMENTARY SCHOOL,130012000118,2009,Total enrollment,0.00,,5.00,0.00,0.00,365.00,0.00,0.00,370.00,25.00,0.00,0.00
GA,ATLANTA CITY,GA,CRIM OPEN CAMPUS,130012000120,2009,Total enrollment,0.00,,0.00,0.00,0.00,265.00,0.00,0.00,270.00,20.00,0.00,0.00
GA,ATLANTA CITY,GA,WEST MANOR ELEMENTARY SCHOOL,130012000121,2009,Total enrollment,0.00,,0.00,0.00,0.00,295.00,0.00,5.00,295.00,15.00,0.00,0.00
GA,ATLANTA CITY,GA,PERKERSON ELEMENTARY SCHOOL,130012000122,2009,Total enrollment,0.00,,0.00,0.00,5.00,340.00,0.00,5.00,350.00,50.00,0.00,0.00
GA,ATLANTA CITY,GA,TURNER MIDDLE SCHOOL,130012000123,2009,Total enrollment,0.00,,0.00,0.00,0.00,260.00,0.00,0.00,265.00,30.00,0.00,0.00
GA,ATLANTA CITY,GA,SMITH ELEMENTARY SCHOOL,130012000124,2009,Total enrollment,0.00,,45.00,0.00,70.00,115.00,650.00,45.00,925.00,65.00,80.00,40.00
GA,ATLANTA CITY,GA,BRANDON ELEMENTARY SCHOOL,130012000127,2009,Total enrollment,10.00,,45.00,0.00,45.00,115.00,780.00,25.00,1015.00,50.00,5.00,30.00
GA,ATLANTA CITY,GA,ADAMSVILLE ELEMENTARY SCHOOL,130012000129,2009,Total enrollment,0.00,,0.00,0.00,5.00,350.00,0.00,0.00,360.00,35.00,0.00,5.00
GA,ATLANTA CITY,GA,MORNINGSIDE ELEMENTARY SCHOOL,130012000130,2009,Total enrollment,5.00,,30.00,0.00,10.00,105.00,575.00,45.00,775.00,65.00,10.00,10.00
